questionId,place,no,category,text,weight,required,isActive
Q001,館外,1,Q,外壁/外灯/花壇/お客様動線などに破損箇所はないか,1,TRUE,TRUE
Q002,館外,2,C,外観/店舗周辺/お客様の動線に汚れ（ゴミ･落ち葉･蜘蛛の巣)･雑草はないか,1,TRUE,TRUE
Q003,館外,3,Q,のぼり旗や土台に破損や劣化はないか土台が放置されていないか,1,TRUE,TRUE
Q004,館外,4,C,のぼり旗や土台に汚れはないか,1,TRUE,TRUE
Q005,館外,5,Q,駐車場/駐輪場にゴミ･雑草はないか,1,TRUE,TRUE
Q006,館外,6,Q,入り口前・店舗裏などお客様の目に付く場所に不要物･ゴミが放置されていないか,1,TRUE,TRUE
Q007,館外,7,Q,洗濯物を会員様の見えるところ、動線に干していないか,1,TRUE,TRUE
Q008,館外,8,Q,館外掲示物（ブラックボードやたおれんくん）は整理整頓され、破れ等はないか、期限は切れいていないか,1,TRUE,TRUE
Q009,館外,9,C,館外掲示物（ブラックボードやたおれんくん）の表面やイーゼルに埃や蜘蛛の巣などの汚れはないか,1,TRUE,TRUE
Q010,エントランス,1,C,扉の手垢、ドア枠や自動ドアレールに埃やゴミはないか,1,TRUE,TRUE
Q011,エントランス,2,C,土間/風除室の四隅に埃や蜘蛛の巣が溜まっていないか,1,TRUE,TRUE
Q012,エントランス,3,C,玄関マットが汚れて色が変わっていないか、砂が溜まっていないか,1,TRUE,TRUE
Q013,エントランス,4,C,かさ立てのトレイや骨組みに汚れはないか,1,TRUE,TRUE
Q014,エントランス,5,Q,かさ立てに必要以上の傘が溜まっていないか（雨天時を除く）,1,TRUE,TRUE
Q015,エントランス,6,Q,ゲート/カード端末/APPビーコン/二次元コードに劣化はないか,1,TRUE,TRUE
Q016,エントランス,7,C,入口ゲート･カード端末･インターホン･SECOMセンサーに汚れはないか,1,TRUE,TRUE
Q017,エントランス,8,C,天吊りモニター裏表に汚れや埃が溜まっていないか,1,TRUE,TRUE
Q018,エントランス,9,Q,下足ロッカーの鍵が壊れていないか、スムーズに開くか,1,TRUE,TRUE
Q019,エントランス,10,C,下足ロッカーの上部や取っ手部分に埃、トレイに砂利が溜まっていないか,1,TRUE,TRUE
Q020,エントランス,11,Q,キオスク端末が正常に稼動しているか、掲載内容に誤りや期限切れがないか（誤字脱字も含む）,1,TRUE,TRUE
Q021,エントランス,12,C,キオスク端末の画面は指紋等で汚れていないか、端末裏は埃や落ち葉で汚れていないか,1,TRUE,TRUE
Q022,エントランス,13,Q,下足入れに破損はないか,1,TRUE,TRUE
Q023,エントランス,14,C,下足入れに埃や砂利が溜まっていないか,1,TRUE,TRUE
Q024,フロント,1,Q,カウンターに不要物が置かれていないか,1,TRUE,TRUE
Q025,フロント,2,Q,レジの鍵が付いたまま、ドロアーが開いたままになっていないか,1,TRUE,TRUE
Q026,フロント,3,Q,カシオPＣに目隠しシートが貼られているか,1,TRUE,TRUE
Q027,フロント,4,Q,フロント内が整理整頓され、TOPSが取り入れられているか,1,TRUE,TRUE
Q028,フロント,5,C,サインの表面や上部、段差等に汚れや埃が溜まっていないか,1,TRUE,TRUE
Q029,フロント,6,C,入会･受付ブースの机やイスに汚れはないか、イスの脚等に埃が溜まっていないか,1,TRUE,TRUE
Q030,フロント,7,C,メガネケース内側や底に埃が溜まっていないか、メガネに手垢が付いていないか,1,TRUE,TRUE
Q031,ジムエリア,1,C,有酸素マシンの肌が触れる部分、足元･骨組み、マシン下、ドリンクホルダーに汚れ（汗など）や埃はないか,1,TRUE,TRUE
Q032,ジムエリア,2,C,ストレングスマシンの肌が触れる部分、足元･骨組み、マシン下、ドリンクホルダーに汚れ（汗など）や埃はないか,1,TRUE,TRUE
Q033,ジムエリア,3,C,マシン前のテレビの表面･裏側･配線･リモコンなどに汚れや埃が溜まっていないか,1,TRUE,TRUE
Q034,ジムエリア,4,C,ゼンプロの肌の触れる部分、足元の骨組み、マシン下、ドリンクホルダーに汚れ/埃がないか,1,TRUE,TRUE
Q035,ジムエリア,5,Q,マシン拭きタオルに毛羽立ちや磨耗等がないか、ジムワイプは補充されているか,1,TRUE,TRUE
Q036,ジムエリア,6,Q,マシンに劣化や破損はないか、マシンシートなどに亀裂や破れはないか,1,TRUE,TRUE
Q037,ジムエリア,7,Q,調整中マシンには規定POPで復旧予定、または調整対応日が記載されているか,1,TRUE,TRUE
Q038,ジムエリア,8,Q,温湿度計は最低1箇所に設置してあるか,1,TRUE,TRUE
Q039,ジムエリア,9,Q,室温は22～26℃以内に保たれているか（室温の目安は有酸素エリア 22～24℃､レジスタンス･ＦＷ 26℃前後､ストレッチエリア 26℃前後 / 湿度の目安は40～60％）,1,TRUE,TRUE
Q040,ジムエリア,10,Q,蛍光灯/照明は切れていないか、間引きは適正か,1,TRUE,TRUE
Q041,ジムエリア,11,C,蛍光灯/照明に埃や虫の死骸がないか,1,TRUE,TRUE
Q042,ジムエリア,12,C,エアコンの羽･フィルター、換気扇等に埃は溜まっていないか,1,TRUE,TRUE
Q043,ジムエリア,13,Q,エリア全体に不快な臭いではないか,1,TRUE,TRUE
Q044,ジムエリア,14,Q,清掃用具はフックで吊るしてあるか,1,TRUE,TRUE
Q045,ジムエリア,15,Q,ストレッチマシンに劣化や破損はないか、マシンシートなどに亀裂や破れはないか,1,TRUE,TRUE
Q046,ジムエリア,16,C,ストレッチマシン（ゆらぎ）の肌が触れる部分、足元･骨組み、マシン下、ドリンクホルダーに汚れ（汗など）や埃はないか,1,TRUE,TRUE
Q047,ジムエリア,17,Q,お客様が使用する備品が床に直置きされていないか（マシンパットや予備のジムコールなど）,1,TRUE,TRUE
Q048,ジムエリア,18,C,ヴァーチャルバイクの肌の触れる部分、足元の骨組み、マシン下、ドリンクホルダーに汚れ（汗など）や埃はないか,1,TRUE,TRUE
Q049,ジムエリア,19,Q,ヴァーチャルバイクに劣化や破損はないか、シートなどに亀裂や破れはないか,1,TRUE,TRUE
Q050,ジムエリア,20,Q,ヴァーチャルバイク モニターはしっかり映っているか,1,TRUE,TRUE
Q051,レディースエリア,1,C,有酸素マシンの肌が触れる部分、足元･骨組み、マシン下、ドリンクホルダーに埃や汚れはないか,1,TRUE,TRUE
Q052,レディースエリア,2,C,ストレングスマシンの肌が触れる部分、足元･骨組み、マシン下、ドリンクホルダーに埃や汚れはないか,1,TRUE,TRUE
Q053,レディースエリア,3,Q,マシンに劣化や破損はないか、マシンシートなどに亀裂や破れはないか,1,TRUE,TRUE
